,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
259,5000,0.05,1.0,2,250,NCE_Q,2,0.002,0.0006250000000000001,True,2399.25927734375,0.29687658067723965,4.4832842644737105e-46,0.6781037855148315,-0.38383232802152634,0.52,0.59,0.67,0.72,0.76
11,1000,0.05,1.0,2,250,NCE_Q,15,0.0,0.00014648437500000008,False,373.68292236328125,0.045232290027954154,1.0269999248314372e-46,0.6821357011795044,-0.38922156393527985,0.53,0.61,0.68,0.69,0.76
190,1000,0.05,1.0,2,250,NCE_Q,50,0.003,0.0004882812500000003,False,439.7767639160156,-0.3064178162263201,4.742626494244606e-47,0.6842315673828125,-0.3824351280927658,0.56,0.62,0.67,0.69,0.76
155,5000,0.05,1.0,2,250,NCE_Q,2,0.001,0.0006250000000000001,True,2428.8935546875,0.21021666321552152,5.360437986848762e-48,0.6900797891616821,-0.38854292035102844,0.54,0.63,0.7,0.73,0.77
318,5000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,True,2406.296875,0.059205544984719735,5.201813397310567e-48,0.6901596975326538,-0.38566866517066956,0.58,0.66,0.69,0.72,0.78
150,1000,0.05,1.0,2,250,NCE_Q,50,0.001,0.0004882812500000003,False,434.475341796875,-0.12930620466389042,1.1853313612851849e-48,0.6940718698501587,-0.3842315450310707,0.51,0.6,0.69,0.73,0.77
319,5000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,False,2438.3388671875,-0.027973626392732993,1.1540191982296297e-50,0.7060478734970093,-0.38814371079206467,0.61,0.69,0.73,0.74,0.77
109,1000,0.05,1.0,2,250,NCE_Q,15,0.005,0.00014648437500000008,False,390.6271057128906,0.0025668517371945196,4.043070582606538e-53,0.720119743347168,-0.37852296233177185,0.51,0.6,0.66,0.74,0.81
130,1000,0.05,1.0,2,250,NCE_Q,50,0.0,0.0004882812500000003,False,471.13262939453125,-0.0016345793242181885,7.781739486154838e-54,0.7241118240356446,-0.4302195683121681,0.57,0.62,0.7,0.75,0.79
279,5000,0.05,1.0,2,250,NCE_Q,2,0.003,0.0006250000000000001,True,2449.69384765625,0.20136686215443048,6.2735497507834496e-55,0.730119743347168,-0.40127744525671005,0.63,0.69,0.73,0.77,0.8
70,1000,0.05,1.0,2,250,NCE_Q,15,0.003,0.00014648437500000008,False,480.7040100097656,-0.1699288643203142,4.907793857262619e-56,0.7360878276824951,-0.3962075933814049,0.59,0.69,0.73,0.78,0.81
166,5000,0.05,1.0,2,250,NCE_Q,2,0.001,0.0006250000000000001,False,2396.9775390625,0.2730864981053205,8.842363950444508e-57,0.7400399541854858,-0.400319367647171,0.62,0.72,0.76,0.77,0.81
280,5000,0.05,1.0,2,250,NCE_Q,2,0.003,0.0006250000000000001,False,2348.574462890625,-0.2551105806404215,1.478564584101839e-57,0.7441118240356446,-0.4205189719796181,0.64,0.67,0.73,0.78,0.83
170,1000,0.05,1.0,2,250,NCE_Q,50,0.002,0.0004882812500000003,False,438.3988342285156,-0.30572518191203063,6.154978786649466e-58,0.7460878276824952,-0.4038323387503624,0.57,0.69,0.74,0.79,0.79
299,5000,0.05,1.0,2,250,NCE_Q,2,0.004,0.0006250000000000001,False,2444.775634765625,-0.28638804867227774,6.681083901251097e-60,0.7560878276824952,-0.42918163537979126,0.65,0.71,0.75,0.8,0.83
278,5000,0.05,1.0,2,250,NCE_Q,2,0.0,0.0006250000000000001,True,2365.31201171875,0.19726062483749185,4.176789576755485e-61,0.7620559120178223,-0.41892215609550476,0.63,0.71,0.78,0.8,0.84
260,5000,0.05,1.0,2,250,NCE_Q,2,0.002,0.0006250000000000001,False,2214.123779296875,-0.20223530094998773,6.097633579415042e-62,0.7661277818679809,-0.43628742545843124,0.68,0.72,0.75,0.8,0.84
31,1000,0.05,1.0,2,250,NCE_Q,15,0.001,0.00014648437500000008,False,471.623046875,-0.03614267175005267,2.3282304758722666e-62,0.7681437397003174,-0.43181636929512024,0.61,0.67,0.74,0.79,0.85
50,1000,0.05,1.0,2,250,NCE_Q,15,0.002,0.00014648437500000008,False,457.860595703125,0.17846005196007417,1.7357911336723448e-64,0.7781835746765137,-0.4259081780910492,0.6,0.69,0.78,0.8,0.87
90,1000,0.05,1.0,2,250,NCE_Q,15,0.004,0.00014648437500000008,False,442.514892578125,0.2543211499843586,9.09035302670723e-66,0.8085785223090131,-0.44207238033413887,0.5869565217391305,0.6739130434782609,0.8043478260869565,0.8260869565217391,0.8804347826086957
33,1000,0.05,1.0,2,250,random_uniform,15,0.001,0.00014648437500000008,False,386.11407470703125,0.05068978730384744,4.781448055487182e-68,0.7941916131973267,-0.45437126234173775,0.54,0.67,0.77,0.81,0.89
4,10000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,True,4969.12744140625,0.368294661878137,2.1023748071072535e-69,0.8000399541854858,-0.45772454887628555,0.72,0.77,0.82,0.83,0.86
132,1000,0.05,1.0,2,250,random_uniform,50,0.0,0.0004882812500000003,False,386.989990234375,-0.0010608178537535656,6.88761728184137e-70,0.8020957469940185,-0.45437126234173775,0.67,0.74,0.8,0.85,0.89
14,1000,0.05,1.0,2,250,random_uniform,15,0.0,0.00014648437500000008,False,378.72119140625,0.013084997779907678,2.337048445617831e-71,0.8082235288619996,-0.4645109884440899,0.51,0.64,0.78,0.83,0.9
233,10000,0.05,1.0,2,250,NCE_Q,2,0.001,0.0006250000000000001,False,4953.76318359375,0.24594666621251723,2.691704522046657e-72,0.8120559120178222,-0.4412774480879307,0.77,0.81,0.83,0.84,0.86
13,1000,0.05,1.0,2,250,random_uniform,15,0.0,0.00014648437500000008,True,370.34442138671875,-0.03147114439151553,2.725358663910086e-73,0.8160478734970092,-0.46175649017095566,0.55,0.74,0.84,0.85,0.89
92,1000,0.05,1.0,2,250,random_uniform,15,0.004,0.00014648437500000008,False,370.16876220703125,-0.021604560702971416,2.4095128280264224e-74,0.8201996517181397,-0.4560878276824951,0.5,0.64,0.74,0.84,0.92
222,10000,0.05,1.0,2,250,NCE_Q,2,0.001,0.0006250000000000001,True,4879.47412109375,-0.2125253790106952,7.835954589194683e-75,0.8220957469940186,-0.46239520609378815,0.73,0.8,0.82,0.87,0.88
5,10000,0.05,1.0,2,250,NCE_Q,2,0.005,0.0006250000000000001,False,4981.62353515625,-0.06846584717585837,7.123528580233124e-76,0.8260878276824951,-0.43720559775829315,0.75,0.83,0.84,0.87,0.89
151,1000,0.05,1.0,2,250,random_uniform,50,0.001,0.0004882812500000003,True,385.23114013671875,-0.019562257466164537,7.123528580233124e-76,0.8260878276824951,-0.4480638802051544,0.52,0.74,0.85,0.87,0.89
305,10000,0.05,1.0,2,250,NCE_Q,2,0.004,0.0006250000000000001,True,4968.33740234375,0.23507650257123297,6.953000523480792e-76,0.826127781867981,-0.441357284784317,0.78,0.82,0.84,0.87,0.89
91,1000,0.05,1.0,2,250,random_uniform,15,0.004,0.00014648437500000008,True,378.82171630859375,0.03474480041982831,2.0350711756871683e-76,0.8281437397003174,-0.45680639147758484,0.48,0.63,0.73,0.86,0.92
231,1000,0.05,1.0,2,250,random_uniform,50,0.005,0.0004882812500000003,True,369.440673828125,0.05368669999850452,1.9860184677325653e-76,0.8281835746765137,-0.45612774789333344,0.63,0.78,0.84,0.87,0.92
191,1000,0.05,1.0,2,250,random_uniform,50,0.003,0.0004882812500000003,True,363.4399108886719,6.653895186868899e-05,1.9860184677325653e-76,0.8281835746765137,-0.45061877742409706,0.58,0.76,0.85,0.86,0.92
52,1000,0.05,1.0,2,250,random_uniform,15,0.002,0.00014648437500000008,False,383.4623718261719,-0.00814373109837131,6.182768249095371e-77,0.8300797891616821,-0.4728942159563303,0.59,0.76,0.81,0.87,0.91
152,1000,0.05,1.0,2,250,random_uniform,50,0.001,0.0004882812500000003,False,375.6399841308594,-0.0075302052010988545,6.182768249095371e-77,0.8300797891616821,-0.4629540964961052,0.59,0.73,0.8,0.87,0.89
72,1000,0.05,1.0,2,250,random_uniform,15,0.003,0.00014648437500000008,False,375.0745544433594,0.016702136937060373,1.7666294834510776e-77,0.8320957469940186,-0.47600798681378365,0.57,0.73,0.81,0.88,0.91
51,1000,0.05,1.0,2,250,random_uniform,15,0.002,0.00014648437500000008,True,383.5143127441406,0.09562930048964645,4.983650188874851e-78,0.8341118240356445,-0.46902195923030376,0.51,0.67,0.75,0.84,0.92
23,10000,0.05,1.0,2,250,NCE_Q,2,0.0,0.0006250000000000001,True,4964.3251953125,-0.4060613724805744,4.983650188874851e-78,0.8341118240356445,-0.45544910430908203,0.79,0.84,0.85,0.87,0.91
265,10000,0.05,1.0,2,250,NCE_Q,2,0.002,0.0006250000000000001,True,4618.64013671875,0.19733244579224402,1.460257954868232e-78,0.8360478734970093,-0.45708582922816277,0.8,0.84,0.86,0.87,0.91
71,1000,0.05,1.0,2,250,random_uniform,15,0.003,0.00014648437500000008,True,384.6863708496094,0.04393030201854536,1.3529505132428366e-78,0.8361676168441773,-0.47736527025699615,0.59,0.73,0.81,0.84,0.92
112,1000,0.05,1.0,2,250,random_uniform,15,0.005,0.00014648437500000008,True,369.7178955078125,0.02886920371595233,1.088468961729284e-79,0.8400797891616821,-0.4715369362384081,0.52,0.75,0.85,0.88,0.91
