,npi_school_closing,npi_workplace_closing,npi_cancel_public_events,npi_gatherings_restrictions,npi_close_public_transport,npi_stay_at_home,npi_internal_movement_restrictions,npi_international_travel_controls,npi_income_support,npi_debt_relief,npi_fiscal_measures,npi_international_support,npi_public_information,npi_testing_policy,npi_contact_tracing,npi_healthcare_investment,npi_vaccine_investment,npi_masks,cases_total,cases_new,deaths_total,deaths_new,cases_total_per_million,cases_new_per_million,deaths_total_per_million,deaths_new_per_million,tests_total,tests_new,tests_total_per_thousand,tests_new_per_thousand,stats_population,stats_population_density,stats_median_age,stats_gdp_per_capita,cases_days_since_first,deaths_days_since_first,mobility_retail_recreation,mobility_grocery_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,mobility_travel_driving,mobility_travel_transit,mobility_travel_walking,stats_hospital_beds_per_1000,stats_smoking,stats_population_urban,stats_population_school_age,deaths_excess_daily_avg,weather_precipitation_mean,weather_humidity_mean,weather_sw_radiation_mean,weather_temperature_mean,weather_temperature_min,weather_temperature_max,weather_wind_speed_mean
786,1.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,83.0,0.0,1.0,0.0,2169.708,0.0,26.141,0.0,2031.0,97.0,53.092,2.536,38254.0,237.012,36.2,54384.60800000001,119.0,88.0,-43.8,-23.8,5.6,-9.0,-10.0,13.2,42.474000000000004,69.55,33.624,1.218,27.68,2280563.6,3451.0,-11.462857142857143,0.0001003609722829,0.0117357037961483,268.44876098632807,18.139448165893555,12.265365600585938,23.47109413146973,1.1258679628372192
787,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,121.0,1.0,1.0,0.0,3163.068,26.141,26.141,0.0,8002.0,96.0,209.181,2.51,38254.0,237.012,36.2,54384.60800000001,211.0,180.0,-43.8,-23.8,5.6,-19.0,-13.0,13.2,42.474000000000004,69.55,33.623999999999995,1.5999999999999999,29.619999999999997,18221870.0,3451.0,-11.462857142857143,1.5769223285080605e-05,0.00865733807158044,183.84929183514464,13.906532936777158,11.845180903591976,15.510013009244762,7.129739137349932
788,1.0,2.0,2.0,4.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,2245.0,24.0,44.0,0.0,58686.673,627.385,1150.207,0.0,21006.0,67.0,549.119,1.751,38254.0,237.012,36.42,43708.5564,303.0,272.0,-43.8,-23.8,5.6,-56.0,-87.0,13.2,42.474000000000004,69.55,33.623999999999995,1.2779999999999998,29.619999999999997,2178480.4,3451.0,-11.462857142857143,4.680583855259151e-05,0.014143983631071482,193.44331969825024,22.302410693204262,21.212600445612853,23.533467470201998,5.794420264854059
789,1.0,2.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,2756.0,3.0,56.0,0.0,72044.753,78.423,1463.899,0.0,34038.0,272.0,889.789,7.11,38254.0,237.012,36.42,43708.5564,393.0,362.0,-43.8,-23.8,5.6,-10.0,-19.0,13.2,42.474000000000004,69.55,33.623999999999995,1.3579999999999999,29.619999999999997,2178480.4,3451.0,-11.462857142857143,1.1408165622946315e-05,0.01126202801113326,217.8472415778902,18.223871911027132,16.90608356308427,19.725688433801157,5.925638114434877
790,1.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,3133.0,2.0,58.0,0.0,81899.932,52.282,1516.181,0.0,51781.0,330.0,1353.61,8.627,38254.0,237.012,36.42,43708.5564,484.0,453.0,-29.4,-18.8,5.6,-21.0,-11.0,13.2,63.80800000000001,69.55,44.89399999999999,3.96,29.619999999999997,2178480.4,3451.0,-11.462857142857143,1.1408165622946315e-05,0.01126202801113326,217.8472415778902,18.223871911027132,16.90608356308427,19.725688433801157,5.925638114434877
791,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,3558.0,1.0,58.0,0.0,93009.881,26.141,1516.181,0.0,68473.0,303.0,1789.957,7.921,38254.0,237.012,36.42,53146.177,576.0,545.0,-29.4,-18.8,5.6,7.0,-16.0,13.2,63.80800000000001,69.55,44.89399999999999,3.96,32.3,2178480.4,3451.0,-11.462857142857143,2.6458776303471772e-05,0.00985200787694592,191.12967005236752,14.428487494726477,12.318612334860477,16.26837165762874,6.294559509804978
792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4249.2,46.8,51.6,1.0,472.7268,5.1322,6.7226,0.1096,631598.4,2648.0,29.0014,0.1222,2022290.0,24.3028,22.9,3282.4230000000002,190.4,67.0,-7.0,12.4,-15.0,-9.0,-17.0,9.0,103.72599999999997,81.41199999999999,116.328,4.15,22.9,2241158.6,3771108.0,49.53151551634388,2.907870438108608e-05,0.0182627260516062,205.26098493256592,26.533541937347326,24.31897756904689,28.912800010870303,3.0287797563947656
793,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,146.0,3.0,3.0,1.0,6.792,0.14,0.14,0.047,2785.0,219.0,0.13,0.01,21497306.0,341.955,34.1,11669.077,65.0,4.0,-78.0,-68.0,-41.0,-65.0,-71.0,39.0,86.912,89.136,78.42999999999999,4.15,22.9,2280563.6,3771108.0,-1.4350575173724267,5.705187167536577e-07,0.0169953958366663,270.10954065189657,27.79601484422265,24.549114622764765,31.548516003480344,3.5362797085493733
794,3.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,2054.0,7.0,11.0,0.0,95.547,0.326,0.512,0.0,109106.0,1296.0,5.075,0.06,21497306.0,341.955,34.1,11669.077,156.0,95.0,-16.0,-3.0,-6.0,-13.0,-16.0,8.0,86.912,89.136,78.42999999999999,4.15,22.9,2280563.6,3771108.0,20.199846174444428,2.9310528920605768e-05,0.0190904869636972,197.9287879136724,28.21025549619579,26.6667548998696,30.281253366980323,4.770025110468619
795,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,3382.0,2.0,13.0,0.0,157.322,0.093,0.605,0.0,291105.0,1517.0,13.541,0.071,21497306.0,341.955,34.1,11669.077,248.0,187.0,-25.0,-7.0,8.0,-23.0,-66.0,16.0,109.58400000000002,89.136,107.63199999999999,4.15,22.9,18350568.6,3771108.0,77.54865837348663,1.7704560146340758e-05,0.011286496589620899,195.9326138840916,16.99470341233109,15.33098326373756,18.941615728448436,4.529200952954462
