,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,sep,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.025,p_a=0.05,p_a=0.1
71,10000,0.75,1.0,2,250,random_uniform,1,0.02,0.140625,False,3756.7236328125,0.0034147479758549057,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
70,10000,0.75,1.0,2,250,NCE_Q,1,0.02,0.140625,False,4631.328125,0.09740024978742852,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
65,10000,0.75,1.0,2,250,random_uniform,1,0.01,0.140625,False,3780.841064453125,0.011908689787829092,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
55,5000,0.75,1.0,2,250,rulsif,1,0.05,0.140625,False,2235.275146484375,0.16348615428984203,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
54,5000,0.75,1.0,2,250,random_uniform,1,0.05,0.140625,False,1865.2684326171875,0.00142742100991507,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
52,5000,0.75,1.0,2,250,real_TRE_Q,1,0.05,0.140625,False,2009.42529296875,0.10758351733525028,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
50,5000,0.75,1.0,2,250,rulsif,1,0.04,0.140625,False,2190.93896484375,0.13987947400004583,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
49,5000,0.75,1.0,2,250,random_uniform,1,0.04,0.140625,False,1869.6280517578125,0.03782837385100657,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
47,5000,0.75,1.0,2,250,real_TRE_Q,1,0.04,0.140625,False,2145.928955078125,-0.09308622696043387,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
42,5000,0.75,1.0,2,250,NCE_Q,1,0.03,0.140625,False,2457.1103515625,0.2843051957192293,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
41,5000,0.75,1.0,2,250,real_TRE_Q,1,0.03,0.140625,False,2257.069580078125,0.07291036133095977,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
48,5000,0.75,1.0,2,250,NCE_Q,1,0.04,0.140625,False,2375.514892578125,0.18937066165623373,0.0,1.0,-0.5,1.0,1.0,1.0,1.0,1.0
