,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
52,5000,0.5,1.0,2,250,real_weights,15,0.25,3830.31298828125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
67,5000,0.5,1.0,2,250,real_weights,50,0.5,2971.553955078125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
66,5000,0.5,1.0,2,250,real_weights,50,0.25,2971.553955078125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
65,5000,0.5,1.0,2,250,real_weights,50,0.1,2971.553955078125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
64,1000,0.5,0.75,2,250,real_weights,3,0.5,669.6183471679688,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
17,1000,0.5,0.75,2,250,real_weights,15,0.25,674.9569702148438,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
62,5000,0.5,0.5,2,250,real_weights,15,0.5,1354.3995361328125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
61,5000,0.5,0.5,2,250,real_weights,15,0.25,1354.3995361328125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
60,5000,0.5,0.5,2,250,real_weights,15,0.1,1354.3995361328125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
18,1000,0.5,0.75,2,250,real_weights,15,0.5,674.9569702148438,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
58,5000,0.5,0.75,2,250,real_weights,15,0.5,3223.439697265625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
57,5000,0.5,0.75,2,250,real_weights,15,0.25,3223.439697265625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
56,5000,0.5,0.75,2,250,real_weights,15,0.1,3223.439697265625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
20,1000,0.5,1.0,2,250,real_weights,3,0.5,731.4713745117188,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
1,1000,0.5,1.0,2,250,real_weights,3,0.25,731.4713745117188,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
53,1000,0.5,0.75,2,250,real_weights,3,0.25,669.6183471679688,0.9999999999999999,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
54,5000,0.5,1.0,2,250,real_weights,15,0.5,3830.31298828125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
