,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,snr_xz,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
108,10000,0.01,1.0,2,250,real_weights,15,0.5,7.890625000000002e-06,934.9747314453125,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
114,10000,0.1,1.0,2,250,real_weights,15,0.5,0.0007890625000000004,394.5794982910156,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
112,10000,0.1,0.75,2,250,real_weights,15,0.5,0.0007890625000000004,498.8551330566406,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
85,10000,0.0,0.75,2,250,real_weights,3,0.5,0.0,984.9013671875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
0,10000,0.0,0.5,2,250,real_weights,1,0.5,0.0,4271.4736328125,0.9999999999999998,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
126,10000,0.01,0.75,2,250,real_weights,1,0.5,2.5e-05,4616.1123046875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
135,5000,0.1,1.0,2,250,real_weights,1,0.5,0.0025000000000000005,2226.9677734375,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
24,10000,0.1,0.75,2,250,real_weights,1,0.5,0.0025000000000000005,4489.89306640625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
21,5000,0.1,1.0,2,250,real_weights,15,0.5,0.0007890625000000004,270.90533447265625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
29,1000,0.0,1.0,2,250,real_weights,1,0.5,0.0,443.7939147949219,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
19,5000,0.1,0.75,2,250,real_weights,15,0.5,0.0007890625000000004,258.2784423828125,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
124,5000,0.01,0.5,2,250,real_weights,1,0.5,2.5e-05,2135.171630859375,0.9999999999999998,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
142,5000,0.0,1.0,2,250,real_weights,3,0.5,0.0,459.8836669921875,0.9999999999999998,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
16,10000,0.1,0.5,2,250,real_weights,1,0.5,0.0025000000000000005,4166.470703125,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
34,1000,0.01,0.75,2,250,real_weights,1,0.5,2.5e-05,445.3833923339844,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
133,5000,0.1,0.75,2,250,real_weights,1,0.5,0.0025000000000000005,2261.1884765625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
15,5000,0.01,1.0,2,250,real_weights,15,0.5,7.890625000000002e-06,452.9400634765625,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
36,1000,0.01,1.0,2,250,real_weights,1,0.5,2.5e-05,432.9900207519531,0.9999999999999999,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
13,5000,0.0,1.0,2,250,real_weights,15,0.5,0.0,459.8836669921875,0.9999999999999998,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
131,5000,0.1,0.5,2,250,real_weights,1,0.5,0.0025000000000000005,2082.79638671875,0.9999999999999998,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
12,5000,0.0,0.75,2,250,real_weights,15,0.5,0.0,471.57293701171875,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
40,1000,0.1,0.75,2,250,real_weights,1,0.5,0.0025000000000000005,439.8133239746094,1.0,2.157664963753298e-240,0.9960159063339233,0.49601590633392334,0.0,0.0,0.0,0.0
