,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
619,1000,0.25,1.0,2,250,real_TRE_Q,3,0.5,497.8562927246094,0.17526422783514967,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
629,1000,0.25,0.5,2,250,NCE_Q,3,0.5,495.04827880859375,0.05926448320947059,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
628,1000,0.25,0.5,2,250,real_TRE_Q,3,0.5,495.5849609375,0.025290538752736062,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
627,1000,0.25,0.5,2,250,NCE_Q,3,0.25,497.1150817871094,-0.08023259613908741,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
626,1000,0.25,0.5,2,250,real_TRE_Q,3,0.25,496.1623229980469,0.07699342185060916,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
20,1000,0.0,0.25,2,250,real_TRE_Q,3,0.5,493.695068359375,0.003804669096606229,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
21,1000,0.0,0.25,2,250,NCE_Q,3,0.5,495.4577331542969,-0.035327526404054926,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
24,1000,0.25,0.5,2,250,real_TRE_Q,1,0.5,498.58795166015625,0.5118337084820243,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
25,1000,0.5,1.0,2,250,real_TRE_Q,3,0.1,496.8250427246094,-0.1468994544629868,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
620,1000,0.25,1.0,2,250,NCE_Q,3,0.5,496.76300048828125,0.06583446525770618,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
592,10000,0.5,0.5,2,250,real_TRE_Q,50,0.25,4968.3388671875,-0.010301294075597144,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
590,10000,0.5,0.5,2,250,real_TRE_Q,50,0.1,4923.20166015625,-0.0030051993226768627,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
69,1000,0.25,0.25,2,250,real_TRE_Q,50,0.1,491.873779296875,0.034832720953726325,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
61,1000,0.25,0.5,2,250,NCE_Q,50,0.1,498.63824462890625,0.08307078327072943,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
563,10000,0.0,0.5,2,250,real_TRE_Q,50,0.1,4887.81201171875,0.0020434412158588616,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
56,1000,0.25,1.0,2,250,NCE_Q,50,0.5,498.89630126953125,0.051396681875817175,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
60,1000,0.25,0.5,2,250,real_TRE_Q,50,0.1,491.5196228027344,-0.060149081853742466,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
560,10000,0.0,1.0,2,250,NCE_Q,50,0.5,4991.11865234375,-0.12432562530121981,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
