,n,$/beta_{xz}$,$c_q$,q_d,# perm,nce_style,d_Z,beta_xy,EFF est w,true_w_q_corr,KS pval,KS stat,uniform-dev,p_a=0.001,p_a=0.01,p_a=0.05,p_a=0.1
45,10000,0.5,0.75,2,250,real_weights,50,0.0,1674.172119140625,0.9999999999999998,5.731512326636305e-09,0.3088445854187012,0.1304382085800171,0.04,0.05,0.08,0.15
57,1000,0.5,0.5,2,250,real_weights,3,0.1,286.2667541503906,0.9999999999999999,7.723549047239461e-22,0.4813546013832092,-0.29605579376220703,0.05,0.14,0.33,0.45
0,1000,0.5,1.0,2,250,real_weights,1,0.1,604.429443359375,1.0,2.0079591299276534e-29,0.5543028163909912,-0.3194422572851181,0.25,0.33,0.57,0.64
122,1000,0.5,0.5,2,250,real_weights,1,0.1,598.9421997070312,1.0,3.672400952320926e-30,0.5607171559333801,-0.3318725526332855,0.08,0.12,0.38,0.52
78,1000,0.5,0.75,2,250,real_weights,1,0.1,751.1193237304688,1.0,8.946720188126031e-43,0.6565737009048462,-0.3784462437033653,0.2,0.38,0.59,0.72
87,5000,0.5,1.0,2,250,real_weights,1,0.1,3444.587646484375,0.9999999999999999,1.8895820642722147e-84,0.8561753273010254,-0.47760956920683384,0.75,0.83,0.9,0.92
52,1000,0.5,0.75,2,250,real_weights,3,0.1,669.6183471679688,0.9999999999999999,1.1231731317417644e-87,0.8662549781799317,-0.4768924433737993,0.58,0.75,0.9,0.95
96,5000,0.5,0.5,2,250,real_weights,1,0.1,3038.915771484375,1.0,4.212236689198382e-91,0.8762549781799316,-0.48434264212846756,0.58,0.73,0.91,0.95
24,1000,0.5,1.0,2,250,real_weights,3,0.1,731.4713745117188,1.0,3.399247910434897e-109,0.9182869100570679,-0.4917529905214906,0.89,0.9,0.95,0.99
109,5000,0.5,0.5,2,250,real_weights,3,0.1,1388.1851806640625,1.0,2.5381032007957583e-111,0.9221912336349487,-0.4941035914234817,0.77,0.86,0.97,0.99
140,10000,0.5,1.0,2,250,real_weights,1,0.1,6063.9521484375,0.9999999999999999,2.823718682995198e-121,0.9381274890899658,-0.49438247131183743,0.92,0.94,0.98,0.99
1,1000,0.5,1.0,2,250,real_weights,1,0.25,604.429443359375,1.0,3.2854060393579325e-134,0.9540637445449829,-0.48752988316118717,0.91,0.95,0.98,0.98
7,10000,0.5,0.5,2,250,real_weights,1,0.1,6117.48974609375,1.0,3.562534273760264e-136,0.9560956764221191,-0.498047812609002,0.89,0.96,0.99,1.0
92,5000,0.5,0.75,2,250,real_weights,1,0.1,3737.7265625,1.0,3.562534273760264e-136,0.9560956764221191,-0.4972111601382494,0.86,0.93,0.98,0.99
89,1000,0.5,0.75,2,250,real_weights,1,0.25,751.1193237304688,1.0,1.0307550414641265e-152,0.97,-0.49633466242812574,0.97,0.97,0.99,0.99
133,1000,0.5,0.5,2,250,real_weights,1,0.25,598.9421997070312,1.0,2.810343964896448e-166,0.9780478382110596,-0.4984860592521727,0.89,0.98,0.99,0.99
3,10000,0.5,0.75,2,250,real_weights,1,0.1,7418.4150390625,0.9999999999999998,7.316060825800086e-186,0.9860159659385681,-0.49976095676538534,0.98,0.99,1.0,1.0
61,1000,0.5,1.0,2,250,real_weights,15,0.1,546.6392822265625,0.9999999999999999,1.1109034718736501e-192,0.9880478382110596,-0.49984063804731704,0.98,0.99,1.0,1.0
27,10000,0.5,1.0,2,250,real_weights,15,0.5,2493.467529296875,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
34,10000,0.5,0.5,2,250,real_weights,15,0.25,2366.251220703125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
25,10000,0.5,1.0,2,250,real_weights,15,0.1,2493.467529296875,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
31,10000,0.5,0.75,2,250,real_weights,15,0.5,5060.4482421875,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
74,1000,0.5,1.0,2,250,real_weights,50,0.1,218.8770751953125,1.0,2.0000000000001775e-200,0.99,-0.49924302817089483,0.99,0.99,0.99,1.0
30,10000,0.5,0.75,2,250,real_weights,15,0.25,5060.4482421875,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
58,1000,0.5,0.5,2,250,real_weights,3,0.25,286.2667541503906,0.9999999999999999,2.0000000000001775e-200,0.99,-0.4998804783826927,0.99,0.99,1.0,1.0
26,10000,0.5,1.0,2,250,real_weights,15,0.25,2493.467529296875,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
29,10000,0.5,0.75,2,250,real_weights,15,0.1,5060.4482421875,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
36,10000,0.5,0.5,2,250,real_weights,15,0.5,2366.251220703125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
33,10000,0.5,0.5,2,250,real_weights,15,0.1,2366.251220703125,1.0,2.0000000000001775e-200,0.99,-0.4900398412719369,0.99,0.99,0.99,0.99
20,10000,0.5,0.5,2,250,real_weights,3,0.1,2729.763427734375,1.0,2.7310763292363086e-210,0.9920319318771362,-0.4999203193219728,0.99,1.0,1.0,1.0
70,1000,0.5,0.5,2,250,real_weights,15,0.1,267.5163879394531,0.9999999999999999,2.1544393453090325e-240,0.9960159659385681,-0.4999601596609864,0.99,1.0,1.0,1.0
114,5000,0.5,1.0,2,250,real_weights,15,0.1,2364.655029296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
115,5000,0.5,1.0,2,250,real_weights,15,0.25,2364.655029296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
116,5000,0.5,1.0,2,250,real_weights,15,0.5,2364.655029296875,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
11,10000,0.5,1.0,2,250,real_weights,3,0.1,7704.939453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
9,10000,0.5,0.5,2,250,real_weights,1,0.5,6117.48974609375,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
112,5000,0.5,0.5,2,250,real_weights,3,0.5,1388.1851806640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
118,5000,0.5,0.75,2,250,real_weights,15,0.1,2395.657470703125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
110,5000,0.5,0.5,2,250,real_weights,3,0.25,1388.1851806640625,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
12,10000,0.5,1.0,2,250,real_weights,3,0.25,7704.939453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
107,5000,0.5,0.75,2,250,real_weights,3,0.5,3303.903564453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
106,5000,0.5,0.75,2,250,real_weights,3,0.25,3303.903564453125,1.0,0.0,1.0,-0.5,1.0,1.0,1.0,1.0
